Unique ID,Description,Category,Amount,Date,Account,Third Party
1676311868042907,Randomly generated expenses for Home,Home,50,2015-01-01,Amex Blue Cash Preferred,
1676311868043323,Randomly generated expenses for Utilities,Utilities,25,2015-01-02,Amex Blue Cash Preferred,Sophia
1676311868045289,Randomly generated expenses for Food and Dining,Food and Dining,24,2015-01-03,Amex Blue Cash Preferred,
1676311868046338,Randomly generated expenses for Kids,Kids,1,2015-01-04,Chase Freedom Flex,
1676311868046569,Randomly generated expenses for Entertainment,Entertainment,10,2015-01-04,Amex Blue Cash Preferred,
1676311868046588,Randomly generated expenses for Shopping,Shopping,29,2015-01-04,Amex Blue Cash Preferred,
1676311868046597,Randomly generated expenses for Health and Fitness,Health and Fitness,24,2015-01-05,Chase Freedom Flex,
1676311868046605,Randomly generated expenses for Food and Dining,Food and Dining,29,2015-01-06,Amex Blue Cash Preferred,
1676311868046612,Randomly generated expenses for Education,Education,31,2015-01-07,Chase Freedom Flex,
1676311868046620,Randomly generated expenses for Food and Dining,Food and Dining,16,2015-01-08,Amex Blue Cash Preferred,
1676311868046628,Randomly generated expenses for Education,Education,37,2015-01-09,Discover It,Justine
1676311868046636,Randomly generated expenses for Uncategorized,Uncategorized,19,2015-01-10,Chase Freedom Flex,Sophia
1676311868046643,Randomly generated expenses for Shopping,Shopping,45,2015-01-11,Chase Freedom Flex,
1676311868046649,Randomly generated expenses for Shopping,Shopping,28,2015-01-12,Schwab Investor Card,
1676311868046676,Randomly generated expenses for Misc Expenses,Misc Expenses,11,2015-01-12,Chase Freedom Flex,
1676311868046699,Randomly generated expenses for Transportation,Transportation,17,2015-01-12,Amex Blue Cash Preferred,
1676311868046724,Randomly generated expenses for Food and Dining,Food and Dining,32,2015-01-13,Schwab Investor Card,
1676311868046733,Randomly generated expenses for Entertainment,Entertainment,37,2015-01-14,Chase Freedom Flex,
1676311868046740,Randomly generated expenses for Clothing,Clothing,4,2015-01-15,Capital One Savor,
1676311868046749,Randomly generated expenses for Utilities,Utilities,28,2015-01-15,Discover It,
1676311868046764,Randomly generated expenses for Food and Dining,Food and Dining,6,2015-01-16,Schwab Investor Card,Ronald
1676311868046772,Randomly generated expenses for Transportation,Transportation,11,2015-01-17,Chase Freedom Flex,
1676311868046779,Randomly generated expenses for Education,Education,6,2015-01-17,Capital One Savor,
1676311868046785,Randomly generated expenses for Kids,Kids,40,2015-01-18,Chase Freedom Flex,
